No,VoucherType,Quantity,Sales,Date
555,10 Birr,81099,810990,11/30/2021
556,15 Birr,35839,537585,11/30/2021
557,25 Birr,26615,665375,11/30/2021
558,100 Birr,2730,273000,11/30/2021
559,50 Birr,8828,441400,11/30/2021
560,250 Birr,30,7500,11/30/2021
561,500 Birr,10,5000,11/30/2021
562,1000 Birr,2,2000,11/30/2021
563,25 Birr,30766,769150,11/29/2021
564,15 Birr,43749,656235,11/29/2021
565,50 Birr,13074,653700,11/29/2021
566,10 Birr,91404,914040,11/29/2021
567,5 Birr,43032,215160,11/29/2021
568,100 Birr,3661,366100,11/29/2021
569,500 Birr,3,1500,11/29/2021
570,250 Birr,7,1750,11/29/2021
571,1000 Birr,1,1000,11/29/2021
572,15 Birr,20997,314955,11/28/2021
573,50 Birr,5904,295200,11/28/2021
574,100 Birr,2181,218100,11/28/2021
575,25 Birr,15792,394800,11/28/2021
576,10 Birr,47480,474800,11/28/2021
577,5 Birr,24148,120740,11/28/2021
578,1000 Birr,1,1000,11/28/2021
579,250 Birr,3,750,11/28/2021
580,500 Birr,2,1000,11/28/2021
581,10 Birr,73194,731940,11/27/2021
582,50 Birr,10197,509850,11/27/2021
583,5 Birr,43100,215500,11/27/2021
584,15 Birr,34414,516210,11/27/2021
585,25 Birr,25102,627550,11/27/2021
586,100 Birr,3739,373900,11/27/2021
587,250 Birr,5,1250,11/27/2021
588,500 Birr,7,3500,11/27/2021
589,1000 Birr,1,1000,11/27/2021
590,15 Birr,37136,557040,11/26/2021
591,50 Birr,11211,560550,11/26/2021
592,25 Birr,28649,716225,11/26/2021
593,5 Birr,44605,223025,11/26/2021
594,10 Birr,87899,878990,11/26/2021
595,100 Birr,4288,428800,11/26/2021
596,500 Birr,5,2500,11/26/2021
597,250 Birr,12,3000,11/26/2021
598,1000 Birr,8,8000,11/26/2021
599,5 Birr,39695,198475,11/25/2021
600,10 Birr,77467,774670,11/25/2021
601,25 Birr,27907,697675,11/25/2021
602,15 Birr,30964,464460,11/25/2021
603,100 Birr,3669,366900,11/25/2021
604,50 Birr,10835,541750,11/25/2021
605,250 Birr,6,1500,11/25/2021
606,500 Birr,5,2500,11/25/2021
607,1000 Birr,6,6000,11/25/2021
608,15 Birr,38958,584370,11/24/2021
609,100 Birr,3011,301100,11/24/2021
610,50 Birr,12323,616150,11/24/2021
611,25 Birr,28250,706250,11/24/2021
612,10 Birr,81471,814710,11/24/2021
613,5 Birr,41095,205475,11/24/2021
614,500 Birr,7,3500,11/24/2021
615,1000 Birr,3,3000,11/24/2021
616,250 Birr,6,1500,11/24/2021
617,10 Birr,62952,629520,11/23/2021
618,5 Birr,34130,170650,11/23/2021
619,50 Birr,9350,467500,11/23/2021
620,25 Birr,23474,586850,11/23/2021
621,15 Birr,29868,448020,11/23/2021
622,100 Birr,3164,316400,11/23/2021
623,250 Birr,6,1500,11/23/2021
